iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,total_tests,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_boosters_per_hundred,stringency_index,population,gdp_per_capita
AUS,Australia,2020-01-26,4.0,4.0,,,0.157,0.157,,,,,,,,,,,,,,,5.56,25499881.0,44648.71
AUS,Australia,2020-01-27,5.0,1.0,,,0.196,0.039,,,,,,,,,,,,,,,5.56,25499881.0,44648.71
AUS,Australia,2020-01-28,5.0,0.0,,,0.196,0.0,,,,,,,,,,,,,,,5.56,25499881.0,44648.71
AUS,Australia,2020-01-29,6.0,1.0,,,0.235,0.039,,,,,,,,,,,,,,,5.56,25499881.0,44648.71
AUS,Australia,2020-01-30,9.0,3.0,,,0.353,0.118,,,,,,,,,,,,,,,5.56,25499881.0,44648.71
AUS,Australia,2020-01-31,9.0,0.0,,,0.353,0.0,,,,,,,,,,,,,,,5.56,25499881.0,44648.71
AUS,Australia,2020-02-01,12.0,3.0,,,0.471,0.118,,,,,,,,,,,,,,,13.89,25499881.0,44648.71
AUS,Australia,2020-02-02,12.0,0.0,,,0.471,0.0,,,,,,,,,,,,,,,13.89,25499881.0,44648.71
AUS,Australia,2020-02-03,12.0,0.0,,,0.471,0.0,,,,,,,,,,,,,,,19.44,25499881.0,44648.71
AUS,Australia,2020-02-04,13.0,1.0,,,0.51,0.039,,,,,,,,,,,,,,,19.44,25499881.0,44648.71
AUS,Australia,2020-02-05,13.0,0.0,,,0.51,0.0,,,,,,,,,,,,,,,19.44,25499881.0,44648.71
AUS,Australia,2020-02-06,14.0,1.0,,,0.549,0.039,,,,,,,,,,,,,,,19.44,25499881.0,44648.71
AUS,Australia,2020-02-07,15.0,1.0,,,0.588,0.039,,,,,,,,,,,,,,,19.44,25499881.0,44648.71
AUS,Australia,2020-02-08,15.0,0.0,,,0.588,0.0,,,,,,,,,,,,,,,19.44,25499881.0,44648.71
